scenario_id,cwe_id,language,category,title,vulnerable_path,fixed_path
"cwe-22-path-traversal-python","CWE-22","python","File System","Improper Limitation of a Pathname to a Restricted Directory","cases/CWE-22/python/cwe-22-path-traversal-python/vulnerable/fixture.py","cases/CWE-22/python/cwe-22-path-traversal-python/fixed/fixture.py"
"cwe-22-path-traversal-javascript","CWE-22","javascript","File System","Improper Limitation of a Pathname to a Restricted Directory","cases/CWE-22/javascript/cwe-22-path-traversal-javascript/vulnerable/fixture.js","cases/CWE-22/javascript/cwe-22-path-traversal-javascript/fixed/fixture.js"
"cwe-78-os-command-injection-python","CWE-78","python","Injection","Improper Neutralization of Special Elements used in an OS Command","cases/CWE-78/python/cwe-78-os-command-injection-python/vulnerable/fixture.py","cases/CWE-78/python/cwe-78-os-command-injection-python/fixed/fixture.py"
"cwe-78-os-command-injection-javascript","CWE-78","javascript","Injection","Improper Neutralization of Special Elements used in an OS Command","cases/CWE-78/javascript/cwe-78-os-command-injection-javascript/vulnerable/fixture.js","cases/CWE-78/javascript/cwe-78-os-command-injection-javascript/fixed/fixture.js"
"cwe-79-cross-site-scripting-javascript","CWE-79","javascript","Injection","Improper Neutralization of Input During Web Page Generation","cases/CWE-79/javascript/cwe-79-cross-site-scripting-javascript/vulnerable/fixture.js","cases/CWE-79/javascript/cwe-79-cross-site-scripting-javascript/fixed/fixture.js"
"cwe-79-cross-site-scripting-php","CWE-79","php","Injection","Improper Neutralization of Input During Web Page Generation","cases/CWE-79/php/cwe-79-cross-site-scripting-php/vulnerable/fixture.php","cases/CWE-79/php/cwe-79-cross-site-scripting-php/fixed/fixture.php"
"cwe-89-sql-injection-python","CWE-89","python","Injection","Improper Neutralization of Special Elements used in an SQL Command","cases/CWE-89/python/cwe-89-sql-injection-python/vulnerable/fixture.py","cases/CWE-89/python/cwe-89-sql-injection-python/fixed/fixture.py"
"cwe-89-sql-injection-java","CWE-89","java","Injection","Improper Neutralization of Special Elements used in an SQL Command","cases/CWE-89/java/cwe-89-sql-injection-java/vulnerable/fixture.java","cases/CWE-89/java/cwe-89-sql-injection-java/fixed/fixture.java"
"cwe-94-code-injection-python","CWE-94","python","Injection","Improper Control of Generation of Code","cases/CWE-94/python/cwe-94-code-injection-python/vulnerable/fixture.py","cases/CWE-94/python/cwe-94-code-injection-python/fixed/fixture.py"
"cwe-94-code-injection-javascript","CWE-94","javascript","Injection","Improper Control of Generation of Code","cases/CWE-94/javascript/cwe-94-code-injection-javascript/vulnerable/fixture.js","cases/CWE-94/javascript/cwe-94-code-injection-javascript/fixed/fixture.js"
"cwe-117-log-injection-python","CWE-117","python","Logging","Improper Output Neutralization for Logs","cases/CWE-117/python/cwe-117-log-injection-python/vulnerable/fixture.py","cases/CWE-117/python/cwe-117-log-injection-python/fixed/fixture.py"
"cwe-117-log-injection-java","CWE-117","java","Logging","Improper Output Neutralization for Logs","cases/CWE-117/java/cwe-117-log-injection-java/vulnerable/fixture.java","cases/CWE-117/java/cwe-117-log-injection-java/fixed/fixture.java"
"cwe-200-information-exposure-python","CWE-200","python","Data Protection","Exposure of Sensitive Information to an Unauthorized Actor","cases/CWE-200/python/cwe-200-information-exposure-python/vulnerable/fixture.py","cases/CWE-200/python/cwe-200-information-exposure-python/fixed/fixture.py"
"cwe-200-information-exposure-javascript","CWE-200","javascript","Data Protection","Exposure of Sensitive Information to an Unauthorized Actor","cases/CWE-200/javascript/cwe-200-information-exposure-javascript/vulnerable/fixture.js","cases/CWE-200/javascript/cwe-200-information-exposure-javascript/fixed/fixture.js"
"cwe-209-error-information-exposure-python","CWE-209","python","Data Protection","Generation of Error Message Containing Sensitive Information","cases/CWE-209/python/cwe-209-error-information-exposure-python/vulnerable/fixture.py","cases/CWE-209/python/cwe-209-error-information-exposure-python/fixed/fixture.py"
"cwe-209-error-information-exposure-java","CWE-209","java","Data Protection","Generation of Error Message Containing Sensitive Information","cases/CWE-209/java/cwe-209-error-information-exposure-java/vulnerable/fixture.java","cases/CWE-209/java/cwe-209-error-information-exposure-java/fixed/fixture.java"
"cwe-276-incorrect-default-permissions-python","CWE-276","python","Authorization","Incorrect Default Permissions","cases/CWE-276/python/cwe-276-incorrect-default-permissions-python/vulnerable/fixture.py","cases/CWE-276/python/cwe-276-incorrect-default-permissions-python/fixed/fixture.py"
"cwe-276-incorrect-default-permissions-go","CWE-276","go","Authorization","Incorrect Default Permissions","cases/CWE-276/go/cwe-276-incorrect-default-permissions-go/vulnerable/fixture.go","cases/CWE-276/go/cwe-276-incorrect-default-permissions-go/fixed/fixture.go"
"cwe-287-improper-authentication-python","CWE-287","python","Authentication","Improper Authentication","cases/CWE-287/python/cwe-287-improper-authentication-python/vulnerable/fixture.py","cases/CWE-287/python/cwe-287-improper-authentication-python/fixed/fixture.py"
"cwe-287-improper-authentication-java","CWE-287","java","Authentication","Improper Authentication","cases/CWE-287/java/cwe-287-improper-authentication-java/vulnerable/fixture.java","cases/CWE-287/java/cwe-287-improper-authentication-java/fixed/fixture.java"
"cwe-295-certificate-validation-python","CWE-295","python","Cryptography","Improper Certificate Validation","cases/CWE-295/python/cwe-295-certificate-validation-python/vulnerable/fixture.py","cases/CWE-295/python/cwe-295-certificate-validation-python/fixed/fixture.py"
"cwe-295-certificate-validation-go","CWE-295","go","Cryptography","Improper Certificate Validation","cases/CWE-295/go/cwe-295-certificate-validation-go/vulnerable/fixture.go","cases/CWE-295/go/cwe-295-certificate-validation-go/fixed/fixture.go"
"cwe-306-missing-authentication-python","CWE-306","python","Authentication","Missing Authentication for Critical Function","cases/CWE-306/python/cwe-306-missing-authentication-python/vulnerable/fixture.py","cases/CWE-306/python/cwe-306-missing-authentication-python/fixed/fixture.py"
"cwe-306-missing-authentication-go","CWE-306","go","Authentication","Missing Authentication for Critical Function","cases/CWE-306/go/cwe-306-missing-authentication-go/vulnerable/fixture.go","cases/CWE-306/go/cwe-306-missing-authentication-go/fixed/fixture.go"
"cwe-307-missing-rate-limit-python","CWE-307","python","Authentication","Improper Restriction of Excessive Authentication Attempts","cases/CWE-307/python/cwe-307-missing-rate-limit-python/vulnerable/fixture.py","cases/CWE-307/python/cwe-307-missing-rate-limit-python/fixed/fixture.py"
"cwe-307-missing-rate-limit-javascript","CWE-307","javascript","Authentication","Improper Restriction of Excessive Authentication Attempts","cases/CWE-307/javascript/cwe-307-missing-rate-limit-javascript/vulnerable/fixture.js","cases/CWE-307/javascript/cwe-307-missing-rate-limit-javascript/fixed/fixture.js"
"cwe-312-cleartext-storage-python","CWE-312","python","Data Protection","Cleartext Storage of Sensitive Information","cases/CWE-312/python/cwe-312-cleartext-storage-python/vulnerable/fixture.py","cases/CWE-312/python/cwe-312-cleartext-storage-python/fixed/fixture.py"
"cwe-312-cleartext-storage-java","CWE-312","java","Data Protection","Cleartext Storage of Sensitive Information","cases/CWE-312/java/cwe-312-cleartext-storage-java/vulnerable/fixture.java","cases/CWE-312/java/cwe-312-cleartext-storage-java/fixed/fixture.java"
"cwe-319-cleartext-transmission-python","CWE-319","python","Data Protection","Cleartext Transmission of Sensitive Information","cases/CWE-319/python/cwe-319-cleartext-transmission-python/vulnerable/fixture.py","cases/CWE-319/python/cwe-319-cleartext-transmission-python/fixed/fixture.py"
"cwe-319-cleartext-transmission-go","CWE-319","go","Data Protection","Cleartext Transmission of Sensitive Information","cases/CWE-319/go/cwe-319-cleartext-transmission-go/vulnerable/fixture.go","cases/CWE-319/go/cwe-319-cleartext-transmission-go/fixed/fixture.go"
"cwe-327-broken-cryptography-python","CWE-327","python","Cryptography","Use of a Broken or Risky Cryptographic Algorithm","cases/CWE-327/python/cwe-327-broken-cryptography-python/vulnerable/fixture.py","cases/CWE-327/python/cwe-327-broken-cryptography-python/fixed/fixture.py"
"cwe-327-broken-cryptography-java","CWE-327","java","Cryptography","Use of a Broken or Risky Cryptographic Algorithm","cases/CWE-327/java/cwe-327-broken-cryptography-java/vulnerable/fixture.java","cases/CWE-327/java/cwe-327-broken-cryptography-java/fixed/fixture.java"
"cwe-330-weak-randomness-python","CWE-330","python","Cryptography","Use of Insufficiently Random Values","cases/CWE-330/python/cwe-330-weak-randomness-python/vulnerable/fixture.py","cases/CWE-330/python/cwe-330-weak-randomness-python/fixed/fixture.py"
"cwe-330-weak-randomness-javascript","CWE-330","javascript","Cryptography","Use of Insufficiently Random Values","cases/CWE-330/javascript/cwe-330-weak-randomness-javascript/vulnerable/fixture.js","cases/CWE-330/javascript/cwe-330-weak-randomness-javascript/fixed/fixture.js"
"cwe-347-signature-verification-python","CWE-347","python","Cryptography","Improper Verification of Cryptographic Signature","cases/CWE-347/python/cwe-347-signature-verification-python/vulnerable/fixture.py","cases/CWE-347/python/cwe-347-signature-verification-python/fixed/fixture.py"
"cwe-347-signature-verification-java","CWE-347","java","Cryptography","Improper Verification of Cryptographic Signature","cases/CWE-347/java/cwe-347-signature-verification-java/vulnerable/fixture.java","cases/CWE-347/java/cwe-347-signature-verification-java/fixed/fixture.java"
"cwe-352-csrf-javascript","CWE-352","javascript","Web Security","Cross-Site Request Forgery","cases/CWE-352/javascript/cwe-352-csrf-javascript/vulnerable/fixture.js","cases/CWE-352/javascript/cwe-352-csrf-javascript/fixed/fixture.js"
"cwe-352-csrf-php","CWE-352","php","Web Security","Cross-Site Request Forgery","cases/CWE-352/php/cwe-352-csrf-php/vulnerable/fixture.php","cases/CWE-352/php/cwe-352-csrf-php/fixed/fixture.php"
"cwe-400-resource-exhaustion-python","CWE-400","python","Availability","Uncontrolled Resource Consumption","cases/CWE-400/python/cwe-400-resource-exhaustion-python/vulnerable/fixture.py","cases/CWE-400/python/cwe-400-resource-exhaustion-python/fixed/fixture.py"
"cwe-400-resource-exhaustion-go","CWE-400","go","Availability","Uncontrolled Resource Consumption","cases/CWE-400/go/cwe-400-resource-exhaustion-go/vulnerable/fixture.go","cases/CWE-400/go/cwe-400-resource-exhaustion-go/fixed/fixture.go"
"cwe-434-unrestricted-upload-python","CWE-434","python","File Handling","Unrestricted Upload of File with Dangerous Type","cases/CWE-434/python/cwe-434-unrestricted-upload-python/vulnerable/fixture.py","cases/CWE-434/python/cwe-434-unrestricted-upload-python/fixed/fixture.py"
"cwe-434-unrestricted-upload-php","CWE-434","php","File Handling","Unrestricted Upload of File with Dangerous Type","cases/CWE-434/php/cwe-434-unrestricted-upload-php/vulnerable/fixture.php","cases/CWE-434/php/cwe-434-unrestricted-upload-php/fixed/fixture.php"
"cwe-502-unsafe-deserialization-python","CWE-502","python","Deserialization","Deserialization of Untrusted Data","cases/CWE-502/python/cwe-502-unsafe-deserialization-python/vulnerable/fixture.py","cases/CWE-502/python/cwe-502-unsafe-deserialization-python/fixed/fixture.py"
"cwe-502-unsafe-deserialization-java","CWE-502","java","Deserialization","Deserialization of Untrusted Data","cases/CWE-502/java/cwe-502-unsafe-deserialization-java/vulnerable/fixture.java","cases/CWE-502/java/cwe-502-unsafe-deserialization-java/fixed/fixture.java"
"cwe-601-open-redirect-python","CWE-601","python","Web Security","URL Redirection to Untrusted Site","cases/CWE-601/python/cwe-601-open-redirect-python/vulnerable/fixture.py","cases/CWE-601/python/cwe-601-open-redirect-python/fixed/fixture.py"
"cwe-601-open-redirect-javascript","CWE-601","javascript","Web Security","URL Redirection to Untrusted Site","cases/CWE-601/javascript/cwe-601-open-redirect-javascript/vulnerable/fixture.js","cases/CWE-601/javascript/cwe-601-open-redirect-javascript/fixed/fixture.js"
"cwe-611-xxe-java","CWE-611","java","XML","Improper Restriction of XML External Entity Reference","cases/CWE-611/java/cwe-611-xxe-java/vulnerable/fixture.java","cases/CWE-611/java/cwe-611-xxe-java/fixed/fixture.java"
"cwe-611-xxe-csharp","CWE-611","csharp","XML","Improper Restriction of XML External Entity Reference","cases/CWE-611/csharp/cwe-611-xxe-csharp/vulnerable/fixture.cs","cases/CWE-611/csharp/cwe-611-xxe-csharp/fixed/fixture.cs"
"cwe-614-insecure-cookie-javascript","CWE-614","javascript","Web Security","Sensitive Cookie in HTTPS Session Without Secure Attribute","cases/CWE-614/javascript/cwe-614-insecure-cookie-javascript/vulnerable/fixture.js","cases/CWE-614/javascript/cwe-614-insecure-cookie-javascript/fixed/fixture.js"
"cwe-614-insecure-cookie-php","CWE-614","php","Web Security","Sensitive Cookie in HTTPS Session Without Secure Attribute","cases/CWE-614/php/cwe-614-insecure-cookie-php/vulnerable/fixture.php","cases/CWE-614/php/cwe-614-insecure-cookie-php/fixed/fixture.php"
"cwe-732-incorrect-permissions-python","CWE-732","python","Authorization","Incorrect Permission Assignment for Critical Resource","cases/CWE-732/python/cwe-732-incorrect-permissions-python/vulnerable/fixture.py","cases/CWE-732/python/cwe-732-incorrect-permissions-python/fixed/fixture.py"
"cwe-732-incorrect-permissions-go","CWE-732","go","Authorization","Incorrect Permission Assignment for Critical Resource","cases/CWE-732/go/cwe-732-incorrect-permissions-go/vulnerable/fixture.go","cases/CWE-732/go/cwe-732-incorrect-permissions-go/fixed/fixture.go"
"cwe-798-hardcoded-credentials-python","CWE-798","python","Secrets","Use of Hard-coded Credentials","cases/CWE-798/python/cwe-798-hardcoded-credentials-python/vulnerable/fixture.py","cases/CWE-798/python/cwe-798-hardcoded-credentials-python/fixed/fixture.py"
"cwe-798-hardcoded-credentials-java","CWE-798","java","Secrets","Use of Hard-coded Credentials","cases/CWE-798/java/cwe-798-hardcoded-credentials-java/vulnerable/fixture.java","cases/CWE-798/java/cwe-798-hardcoded-credentials-java/fixed/fixture.java"
"cwe-863-incorrect-authorization-python","CWE-863","python","Authorization","Incorrect Authorization","cases/CWE-863/python/cwe-863-incorrect-authorization-python/vulnerable/fixture.py","cases/CWE-863/python/cwe-863-incorrect-authorization-python/fixed/fixture.py"
"cwe-863-incorrect-authorization-java","CWE-863","java","Authorization","Incorrect Authorization","cases/CWE-863/java/cwe-863-incorrect-authorization-java/vulnerable/fixture.java","cases/CWE-863/java/cwe-863-incorrect-authorization-java/fixed/fixture.java"
"cwe-918-ssrf-python","CWE-918","python","Web Security","Server-Side Request Forgery","cases/CWE-918/python/cwe-918-ssrf-python/vulnerable/fixture.py","cases/CWE-918/python/cwe-918-ssrf-python/fixed/fixture.py"
"cwe-918-ssrf-go","CWE-918","go","Web Security","Server-Side Request Forgery","cases/CWE-918/go/cwe-918-ssrf-go/vulnerable/fixture.go","cases/CWE-918/go/cwe-918-ssrf-go/fixed/fixture.go"
"cwe-1321-prototype-pollution-javascript","CWE-1321","javascript","JavaScript","Improperly Controlled Modification of Object Prototype Attributes","cases/CWE-1321/javascript/cwe-1321-prototype-pollution-javascript/vulnerable/fixture.js","cases/CWE-1321/javascript/cwe-1321-prototype-pollution-javascript/fixed/fixture.js"
"cwe-1321-prototype-pollution-typescript","CWE-1321","typescript","JavaScript","Improperly Controlled Modification of Object Prototype Attributes","cases/CWE-1321/typescript/cwe-1321-prototype-pollution-typescript/vulnerable/fixture.ts","cases/CWE-1321/typescript/cwe-1321-prototype-pollution-typescript/fixed/fixture.ts"
